Borough,Community Board,COMMUNITY DISTRICT NAME,Tobacco Retail Dealer Cap,Active Tobacco Retail Dealer Licenses,TRD Available Under Cap,Electronic Cigarette Retail Dealer Cap,Active Electronic Cigarette Retail Dealer Licenses,ECD Available Under Cap
Bronx,201,Bronx 1,63,105,0,13,26,0
Bronx,202,Bronx 2,36,68,0,5,10,0
Bronx,203,Bronx 3,45,81,0,8,16,0
Bronx,204,Bronx 4,88,150,0,9,18,0
Bronx,205,Bronx 5,68,124,0,14,28,0
Bronx,206,Bronx 6,58,100,0,7,14,0
Bronx,207,Bronx 7,63,122,0,18,36,0
Bronx,208,Bronx 8,36,62,0,12,24,0
Bronx,209,Bronx 9,78,143,0,15,32,0
Bronx,210,Bronx 10,52,92,0,30,60,0
Bronx,211,Bronx 11,55,99,0,19,38,0
Bronx,212,Bronx 12,66,120,0,21,42,0
Brooklyn,301,Brooklyn 1,114,202,0,53,106,0
Brooklyn,302,Brooklyn 2,64,109,0,25,50,0
Brooklyn,303,Brooklyn 3,97,157,0,20,42,0
Brooklyn,304,Brooklyn 4,80,139,0,24,46,0
Brooklyn,305,Brooklyn 5,94,152,0,15,29,0
Brooklyn,306,Brooklyn 6,48,92,0,26,53,0
Brooklyn,307,Brooklyn 7,64,106,0,13,26,0
Brooklyn,308,Brooklyn 8,46,84,0,12,25,0
Brooklyn,309,Brooklyn 9,39,69,0,10,21,0
Brooklyn,310,Brooklyn 10,62,119,0,27,56,0
Brooklyn,311,Brooklyn 11,87,161,0,31,63,0
Brooklyn,312,Brooklyn 12,49,87,0,16,32,0
Brooklyn,313,Brooklyn 13,30,52,0,18,36,0
Brooklyn,314,Brooklyn 14,57,99,0,21,42,0
Brooklyn,315,Brooklyn 15,59,108,0,32,65,0
Brooklyn,316,Brooklyn 16,48,85,0,6,13,0
Brooklyn,317,Brooklyn 17,59,103,0,9,19,0
Brooklyn,318,Brooklyn 18,55,98,0,21,42,0
Manhattan,101,Manhattan 1,73,135,0,42,85,0
Manhattan,102,Manhattan 2,68,119,0,40,80,0
Manhattan,103,Manhattan 3,89,160,0,56,114,0
Manhattan,104,Manhattan 4,97,174,0,58,117,0
Manhattan,105,Manhattan 5,155,285,0,82,167,0
Manhattan,106,Manhattan 6,68,125,0,44,87,0
Manhattan,107,Manhattan 7,61,117,0,33,66,0
Manhattan,108,Manhattan 8,74,142,0,39,80,0
Manhattan,109,Manhattan 9,42,74,0,16,32,0
Manhattan,110,Manhattan 10,62,106,0,13,26,0
Manhattan,111,Manhattan 11,62,115,0,14,29,0
Manhattan,112,Manhattan 12,86,142,0,28,57,0
Queens,401,Queens 1,106,179,0,46,92,0
Queens,402,Queens 2,70,118,0,26,52,0
Queens,403,Queens 3,64,112,0,20,42,0
Queens,404,Queens 4,64,116,0,18,36,0
Queens,405,Queens 5,99,184,0,35,71,0
Queens,406,Queens 6,35,65,0,19,40,0
Queens,407,Queens 7,71,126,0,31,62,0
Queens,408,Queens 8,38,74,0,21,43,0
Queens,409,Queens 9,60,106,0,24,51,0
Queens,410,Queens 10,47,87,0,21,42,0
Queens,411,Queens 11,28,54,0,15,31,0
Queens,412,Queens 12,118,201,0,23,48,0
Queens,413,Queens 13,54,94,0,19,41,0
Queens,414,Queens 14,37,70,0,10,20,0
Staten Island,501,Staten Island 1,99,154,0,34,68,0
Staten Island,502,Staten Island 2,50,90,0,34,68,0
Staten Island,503,Staten Island 3,42,73,0,32,64,0
